id,album_id,track_number,track_name
1,1,1,Crusher Destroyer
2,1,2,March of the Fire Ants
3,1,3,Where Strides the Behemoth
4,1,4,Workhorse
5,1,5,Ol'e Nessie
6,1,6,Burning Man
7,1,7,Trainwreck
8,1,8,Trampled Under Hoof
9,1,9,Trilobite
10,1,10,Mother Puncher
11,1,11,Elephant Man
12,2,1,Blood and Thunder
13,2,2,I Am Ahab
14,2,3,Seabeast
15,2,4,Island
16,2,5,Iron Tusk
17,2,6,Megalodon
18,2,7,Naked Burn
19,2,8,Aqua Dementia
20,2,9,Hearts Alive
21,2,10,Joseph Merrick
22,3,1,The Wolf Is Loose
23,3,2,Crystal Skull
24,3,3,Sleeping Giant
25,3,4,Capillarian Crest
26,3,5,Circle of Cysquatch
27,3,6,Bladecatcher
28,3,7,Colony of Birchmen
29,3,8,Hunters of Sky
30,3,9,Hand of Stone
31,3,10,This Mortal Soil
32,3,11,Siberian Divide
33,3,12,Pendulous Skin
34,4,1,Oblivion
35,4,2,Divinations
36,4,3,Quintessence
37,4,4,The Czar
38,4,5,Ghost of Karelia
39,4,6,Crack the Skye
40,4,7,The Last Baron
41,5,1,Black Tongue
42,5,2,Curl of the Burl
43,5,3,Blasteroid
44,5,4,Stargasm
45,5,5,Octopus Has No Friends
46,5,6,All the Heavy Lifting
47,5,7,The Hunter
48,5,8,Dry Bone Valley
49,5,9,Thickening
50,5,10,Creature Lives
51,5,11,Spectrelight
52,5,12,Bedazzled Fingernails
53,5,13,The Sparrow
54,6,1,Tread Lightly
55,6,2,The Motherload
56,6,3,High Road
57,6,4,Once More 'Round the Sun
58,6,5,Chimes at Midnight
59,6,6,Asleep in the Deep
60,6,7,Feast Your Eyes
61,6,8,Aunt Lisa
62,6,9,Ember City
63,6,10,Haloween
64,6,11,Diamond in the Witch House
65,7,1,Sultan's Curse
66,7,2,Show Yourself
67,7,3,Precious Stones
68,7,4,Steambreather
69,7,5,Roots Remain
70,7,6,Word to the Wise
71,7,7,Ancient Kingdom
72,7,8,Clandestiny
73,7,9,Andromeda
74,7,10,Scorpion Breath
75,7,11,Jaguar God
76,8,1,Pain with an Anchor
77,8,2,The Crux
78,8,3,Sickle and Peace
79,8,4,More Than I Could Chew
80,8,5,The Beast
81,8,6,Skeleton of Splendor
82,8,7,Teardrinker
83,8,8,Pushing the Tides
84,8,9,Peace and Tranquility
85,8,10,Dagger
86,8,11,Had It All
87,8,12,Savage Lands
88,8,13,Gobblers of Dregs
89,8,14,Eyes of Serpents
90,8,15,Gigantium
